date,station name,val
1962-01-01,YEROHAM S BOQER ROAD KM 42,29.0
1963-01-01,YEROHAM S BOQER ROAD KM 42,198.0
1964-01-01,YEROHAM S BOQER ROAD KM 42,217.0
1965-01-01,YEROHAM S BOQER ROAD KM 42,87.0
1966-01-01,YEROHAM S BOQER ROAD KM 42,117.0
1967-01-01,YEROHAM S BOQER ROAD KM 42,123.0
1968-01-01,YEROHAM S BOQER ROAD KM 42,85.0
1969-01-01,YEROHAM S BOQER ROAD KM 42,70.0
1970-01-01,YEROHAM S BOQER ROAD KM 42,105.83088235294117
1971-01-01,YEROHAM S BOQER ROAD KM 42,224.0
1972-01-01,YEROHAM S BOQER ROAD KM 42,58.0
1973-01-01,YEROHAM S BOQER ROAD KM 42,191.0
1974-01-01,YEROHAM S BOQER ROAD KM 42,126.0
1975-01-01,YEROHAM S BOQER ROAD KM 42,89.0
1976-01-01,YEROHAM S BOQER ROAD KM 42,71.0
1977-01-01,YEROHAM S BOQER ROAD KM 42,61.0
1978-01-01,YEROHAM S BOQER ROAD KM 42,113.0
1979-01-01,YEROHAM S BOQER ROAD KM 42,192.0
1980-01-01,YEROHAM S BOQER ROAD KM 42,160.0
1981-01-01,YEROHAM S BOQER ROAD KM 42,83.0
1982-01-01,YEROHAM S BOQER ROAD KM 42,199.0
1983-01-01,YEROHAM S BOQER ROAD KM 42,62.0
1984-01-01,YEROHAM S BOQER ROAD KM 42,73.0
1985-01-01,YEROHAM S BOQER ROAD KM 42,165.0
1986-01-01,YEROHAM S BOQER ROAD KM 42,105.83088235294117
1987-01-01,YEROHAM S BOQER ROAD KM 42,186.0
1988-01-01,YEROHAM S BOQER ROAD KM 42,125.0
1989-01-01,YEROHAM S BOQER ROAD KM 42,95.0
1990-01-01,YEROHAM S BOQER ROAD KM 42,186.0
1991-01-01,YEROHAM S BOQER ROAD KM 42,177.0
1992-01-01,YEROHAM S BOQER ROAD KM 42,76.0
1993-01-01,YEROHAM S BOQER ROAD KM 42,91.0
1994-01-01,YEROHAM S BOQER ROAD KM 42,185.0
1995-01-01,YEROHAM S BOQER ROAD KM 42,43.0
1996-01-01,YEROHAM S BOQER ROAD KM 42,125.0
1997-01-01,YEROHAM S BOQER ROAD KM 42,119.0
1998-01-01,YEROHAM S BOQER ROAD KM 42,30.0
1999-01-01,YEROHAM S BOQER ROAD KM 42,37.0
2000-01-01,YEROHAM S BOQER ROAD KM 42,94.0
2001-01-01,YEROHAM S BOQER ROAD KM 42,94.0
2002-01-01,YEROHAM S BOQER ROAD KM 42,100.0
2003-01-01,YEROHAM S BOQER ROAD KM 42,86.0
2004-01-01,YEROHAM S BOQER ROAD KM 42,104.0
2005-01-01,YEROHAM S BOQER ROAD KM 42,65.0
2006-01-01,YEROHAM S BOQER ROAD KM 42,158.0
2007-01-01,YEROHAM S BOQER ROAD KM 42,66.0
2008-01-01,YEROHAM S BOQER ROAD KM 42,38.0
2009-01-01,YEROHAM S BOQER ROAD KM 42,167.0
2010-01-01,YEROHAM S BOQER ROAD KM 42,38.0
2011-01-01,YEROHAM S BOQER ROAD KM 42,45.0
2012-01-01,YEROHAM S BOQER ROAD KM 42,107.0
2013-01-01,YEROHAM S BOQER ROAD KM 42,84.0
2014-01-01,YEROHAM S BOQER ROAD KM 42,125.0
2015-01-01,YEROHAM S BOQER ROAD KM 42,83.0
2016-01-01,YEROHAM S BOQER ROAD KM 42,55.0
2017-01-01,YEROHAM S BOQER ROAD KM 42,84.0
2018-01-01,YEROHAM S BOQER ROAD KM 42,72.5
2019-01-01,YEROHAM S BOQER ROAD KM 42,153.5
2020-01-01,YEROHAM S BOQER ROAD KM 42,20.0
2021-01-01,YEROHAM S BOQER ROAD KM 42,72.0
1949-01-01,UPPER MA'ALE AQRABIM,131.0
1950-01-01,UPPER MA'ALE AQRABIM,46.3
1951-01-01,UPPER MA'ALE AQRABIM,73.0
1952-01-01,UPPER MA'ALE AQRABIM,59.0
1953-01-01,UPPER MA'ALE AQRABIM,58.81969696969697
1954-01-01,UPPER MA'ALE AQRABIM,58.81969696969697
1955-01-01,UPPER MA'ALE AQRABIM,58.0
1956-01-01,UPPER MA'ALE AQRABIM,119.0
1957-01-01,UPPER MA'ALE AQRABIM,36.0
1958-01-01,UPPER MA'ALE AQRABIM,58.0
1959-01-01,UPPER MA'ALE AQRABIM,26.0
1960-01-01,UPPER MA'ALE AQRABIM,51.0
1961-01-01,UPPER MA'ALE AQRABIM,35.0
1962-01-01,UPPER MA'ALE AQRABIM,29.0
1963-01-01,UPPER MA'ALE AQRABIM,73.0
1964-01-01,UPPER MA'ALE AQRABIM,88.0
1965-01-01,UPPER MA'ALE AQRABIM,68.0
1966-01-01,UPPER MA'ALE AQRABIM,64.5
1967-01-01,UPPER MA'ALE AQRABIM,67.0
1968-01-01,UPPER MA'ALE AQRABIM,79.5
